56,Flavor Enhancers,Enhance flavors already present in foods (without providing their own separate flavor),Disodium guanylate
57,Flavor Enhancers,Enhance flavors already present in foods (without providing their own separate flavor),Disodium inosinate
58,Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Olestra
59,Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Cellulose gel
60,Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Carrageenan
61,Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Polydextrose
62,Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Modified food starch
63,Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Modified starch
64,Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Food starch
65,Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Starch
66,Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Microparticulated egg white protein
67,Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Guar gum
68,Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Xanthan gum
69,Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Whey protein concentrate
70,Nutrients,Replace vitamins and minerals lost in processing (enrichment),Thiamine hydrochloride
71,Nutrients,Replace vitamins and minerals lost in processing (enrichment),Riboflavin (Vitamin B2)
72,Nutrients,Replace vitamins and minerals lost in processing (enrichment),Riboflavin
73,Nutrients,Replace vitamins and minerals lost in processing (enrichment),Niacin
74,Nutrients,Replace vitamins and minerals lost in processing (enrichment),Niacinamide
75,Nutrients,Replace vitamins and minerals lost in processing (enrichment),Folate
76,Nutrients,Replace vitamins and minerals lost in processing (enrichment),Folic acid
77,Nutrients,Replace vitamins and minerals lost in processing (enrichment),Beta carotene
78,Nutrients,Replace vitamins and minerals lost in processing (enrichment),Potassium iodide
79,Nutrients,Replace vitamins and minerals lost in processing (enrichment),Iron sulfate
80,Nutrients,Replace vitamins and minerals lost in processing (enrichment),Ferrous sulfate
81,Nutrients,Replace vitamins and minerals lost in processing (enrichment),Alpha tocopherols
82,Nutrients,Replace vitamins and minerals lost in processing (enrichment),Ascorbic acid
83,Nutrients,Replace vitamins and minerals lost in processing (enrichment),Vitamin D
84,Nutrients,Replace vitamins and minerals lost in processing (enrichment),"Amino acids (L-tryptophan, L-lysine, L-leucine, L-methionine)"
85,Nutrients,Replace vitamins and minerals lost in processing (enrichment),L-tryptophan
86,Nutrients,Replace vitamins and minerals lost in processing (enrichment),L-lysine
87,Nutrients,Replace vitamins and minerals lost in processing (enrichment),L-leucine
88,Nutrients,Replace vitamins and minerals lost in processing (enrichment),L-methionine
89,Nutrients,Replace vitamins and minerals lost in processing (enrichment),Amino acids
90,Emulsifiers,Allow smooth mixing of ingredients and prevent separation ,Soy lecithin
91,Emulsifiers,Allow smooth mixing of ingredients and prevent separation ,Monoglycerides
92,Emulsifiers,Allow smooth mixing of ingredients and prevent separation ,Diglycerides
93,Emulsifiers,Allow smooth mixing of ingredients and prevent separation ,Egg yolks
94,Emulsifiers,Allow smooth mixing of ingredients and prevent separation ,Polysorbates
95,Emulsifiers,Allow smooth mixing of ingredients and prevent separation ,Sorbitan monostearate
96,Stabilizers and Thickeners,Produce uniform texture and improve mouth-feel,Gelatin
97,Stabilizers and Thickeners,Produce uniform texture and improve mouth-feel,Pectin
98,Stabilizers and Thickeners,Produce uniform texture and improve mouth-feel,Guar gum
99,Stabilizers and Thickeners,Produce uniform texture and improve mouth-feel,Carrageenan
100,Stabilizers and Thickeners,Produce uniform texture and improve mouth-feel,Xanthan gum
101,Stabilizers and Thickeners,Produce uniform texture and improve mouth-feel,Whey
102,pH Control Agents and acidulants,Control acidity/alkalinity and prevent spoilage,Lactic acid
103,pH Control Agents and acidulants,Control acidity/alkalinity and prevent spoilage,Citric acid
104,pH Control Agents and acidulants,Control acidity/alkalinity and prevent spoilage,Ammonium hydroxide
105,pH Control Agents and acidulants,Control acidity/alkalinity and prevent spoilage,Sodium carbonate
106,Leavening Agents,Promote rising of baked goods,Baking soda
107,Leavening Agents,Promote rising of baked goods,Monocalcium phosphate
108,Leavening Agents,Promote rising of baked goods,Calcium carbonate
109,Anti-caking agents,Keep powdered foods free-flowing and prevent moisture absorption,Calcium silicate
110,Anti-caking agents,Keep powdered foods free-flowing and prevent moisture absorption,Iron ammonium citrate
111,Anti-caking agents,Keep powdered foods free-flowing and prevent moisture absorption,Silicon dioxide
112,Humectants,Retain moisture,Glycerin
113,Humectants,Retain moisture,Sorbitol
114,Yeast Nutrients,Promote growth of yeast,Calcium sulfate
115,Yeast Nutrients,Promote growth of yeast,Ammonium phosphate
116,Dough Strengtheners and Conditioners,Produce more stable dough,Ammonium sulfate
117,Dough Strengtheners and Conditioners,Produce more stable dough,Azodicarbonamide
118,Dough Strengtheners and Conditioners,Produce more stable dough,L-cysteine
119,Firming Agents,Maintain crispness and firmness,Calcium chloride
120,Firming Agents,Maintain crispness and firmness,Calcium lactate
121,Enzyme Preparations,Modify proteins polysaccharides and fats,Enzymes
122,Enzyme Preparations,Modify proteins polysaccharides and fats,Lactase
123,Enzyme Preparations,Modify proteins polysaccharides and fats,Papain
124,Enzyme Preparations,Modify proteins polysaccharides and fats,Rennet
125,Enzyme Preparations,Modify proteins polysaccharides and fats,Chymosin
126,Gases,Serve as propellant or create carbonation,Carbon dioxide
127,Gases,Serve as propellant or create carbonation,Nitrous oxide
